u,Authors,Year,Title,Source,Volume, Issue,Abstract,DOI,Notes,Reviewer,Population,Exposure,Outcome,Meets inclusion criteria,Reasons for exclusion,Year(s) of study,Geographic location,Latitude,Longitude,Habitat description,Bird species,Size,Proportion diet,Life stage,Food measurement,Insect sampling method,Type of prey,Comparator / control group,Effect calculable?,ES_ID
1011,"Wiebe, Karen L. and Martin, Kathy",2000,The use of incubation behavior to adjust avian reproductive costs after egg laying,Behavioral Ecology and Sociobiology,48,6,"Reproduction in birds requires the input of time and energy during discrete breeding phases leading to investment trade-offs between laying date, clutch size, body mass, and incubation constancy. We investigated cost during incubation by experimentally enlarging 25 clutches of white-tailed ptarmigan Lagopus leucurus. The experiment was conducted in 2 years, one with harsh weather that forced a natural delay in reproduction. When forced to delay egg-laying, females began incubation with poorer body condition and foraged more during incubation. Rates of mass loss during incubation were not affected by clutch enlargement, and did not differ between harsh and benign years; however, females that were heavier at the start of incubation lost more mass than lighter females. Clutch-enlarged females had reduced nest attendance compared to control birds in both years and incubation periods increased by up to 2 days relative to controls. In the harsh year, there was a trend for clutch-enlarged females to have lower nest success, but there was no effect on overwinter survival. Different behavioral responses by females in the 2 years showed that incubation costs may depend on other factors such as female quality, food supply, or weather conditions. Incubation is a dynamic period during which birds may adjust energy balances by varying body condition and food intake.",NA,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1012,"Byholm, Patrik and Kekkonen, Mari",2008,Food regulates reproduction differently in different habitats: Experimental evidence in the Goshawk,Ecology (Washington D C),89,6,"Food supplementation experiments have been widely used to get detailed insight into how food supply contributes to the reproductive performance of wild animals. Surprisingly, even though food seldom is distributed evenly in space, variation in local habitat quality has usually not been controlled for in food supplementation studies. With results from a two-year feeding experiment involving a habitat-sensitive avian top predator, the Northern Goshawk Accipiter gentilis, we show that treatment effects on goshawk reproductive performance are habitat dependent. Extra food reduced nestling mortality in low-quality territories where prime habitat (forest) is scarce, but not in high-quality territories where prime habitat is abundant. Consequently, brood size did not differ between treatment categories in heavily forested territories, but fledgling numbers differed between unfed and fed goshawk pairs breeding in territories where forest is scarce. However, because extra food was not superabundant, this artificial increase in offspring number induced a dramatic decrease in nestling condition in low-quality territories. Treatment effects were detected even after controlling statistically for other potentially confounding effects (year, territory identity) and strongly covaried with territory-specific abundances of the most important summer prey species. These results highlight the importance of acknowledging the effect that small-scale variation in habitat quality and availability of natural food may have on the results of food supplementation experiments. In order to assess the generality of food supplementation effects, the integration of habitat heterogeneity and variation in food abundance is thus needed, especially among species in which small-scale variation in habitat quality influences demographic patterns.",10.1890/07-0675.1,,JRY,No,,,No,,,,,,,,,,,,,,,,
1013,"Kertell, Kenneth",1996,"Response of Pacific loons (Gavia pacifica) to impoundments at Prudhoe Bay, Alaska",Arctic,49,4,"Reproductive success and foraging effort of Pacific loons (Gavia pacifica) were compared between impoundments and natural ponds in the Prudhoe Bay oil field, Alaska, in 1992 and 1993. Pacific loons successfully reproduced on both impoundments and ponds. Though success tended to be lower on impoundments, no significant differences were detected between the two water body types. The principal cause of reproductive failure on both impoundments and ponds in 1993 appears to have been predation by arctic foxes (Alopex lagopus) during incubation. Predation losses on impoundments often were associated with large water-level drawdowns, which apparently increased opportunities for predation of stranded clutches. I found no differences in chick mortality or adult foraging effort between impoundments and ponds. Over 99% of the prey items delivered to chicks were invertebrates captured in freshwater wetlands. Reproductive output of Pacific loons may be improved by increasing the stability of water levels at impoundments used for nesting. I found no evidence that draining impoundments would improve habitat for loons (or invertebrate-eating waterfowl species) at Prudhoe Bay.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1014,"Dinkins, Jonathan B. (dinkinsj@oregonstate.edu) and Conover, Michael R. and Kirol, Christopher P. and Beck, Jeffrey L. and Frey, Shandra Nicole",2016,Effects of common raven and coyote removal and temporal variation in climate on greater sage-grouse nesting success,Biological Conservation,202,NA,"Predator removal has been simultaneously proposed and criticized as a mitigation measure for low reproductive rates of prey species, including greater sage-grouse (Centrocercus urophasianus; hereafter ""sage-grouse""). Depredation of sage-grouse nests can limit their productivity. In Wyoming, lethal removal of common ravens (Corvus corax: hereafter ""ravens"") and coyotes (Canis latrans) has been conducted by USDA/APHIS/Wildlife Services (WS) for the protection of livestock. During 2008-2011, we evaluated sage-grouse nest success in study sites (1) where WS initiated a raven removal program, (2) WS removed coyotes, and (3) WS did not manipulate ravens and/or coyotes. Precipitation and temperature were analyzed individually and as interactive effects with coyote removal numbers as sources of annual variation in nest success. Over the course of our study, raven densities decreased at study sites with WS raven removal, while sage-grouse nest success in those study sites was higher during years with reduced raven density. Temperature effects on nest success were dependent on timing with successful nests having cooler temperatures prior to the nesting season (conditions promoting water retention and grass growth) and warmer temperatures the week before nest fate (conducive to degradation of sage-grouse odorants used by mammalian predators). Lower nest success was associated with more lethally removed coyotes interacting with greater.precipitation suggesting mesopredator release. Raven removal may have a place in sage-grouse management as an interim mitigation measure when sage-grouse populations are subjected to high densities of ravens. However, long-term solutions are necessary, such as reducing supplemental food sources and perch structures used by ravens. (C) 2016 Elsevier Ltd. All rights reserved.",10.1016/j.biocon.2016.08.011,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1015,"Rocha, G. and Quillfeldt, P.",2015,Effect of supplementary food on age ratios of European turtle doves (<i>Streptopelia turtur</i> L.),Animal Biodiversity and Conservation,38,1,"Many farmland birds have difficulties finding sufficient food in intensely managed agricultural ecosystems, and in more extensively worked landscapes they are often attracted to human induced dietary sources. European turtle doves Streptopelia turtur feed on seeds collected on the ground, and are readily attracted to supplementary provided grain at feeding stations. Supplementary feeding is a common management practice on hunting estates around the world. This study was conducted in 40 hunting estates located in central west Spain: 20 sites where supplementary food was provided to attract turtle doves and 20 control sites without feeding stations. At sites with supplemental feeding, the field age ratio was 20% higher and the hunted age ratio was 33% higher than at control sites, indicating a positive effect of the food supplementation of the breeding success around supplemented sites. Both the amount of food provided per day and the amount of time where supplemental food was given (20-120 days) were positively correlated with the field age ratio and, less strongly, with the hunted age ratio. These data suggest that providing extra food can increase the breeding success of this species when the amount provided is sufficiently large and when supplementary food is provided early in the breeding season. However, hunting pressure was also higher at supplemented sites. Future studies should therefore closely monitor the positive and negative effects in order to ascertain which management practices will ensure the viability of these important European turtle dove populations.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1016,"Schmidt, Joshua H. (Joshua_Schmidt@nps.gov) and McIntyre, Carol L. and Roland, Carl A. and MacCluskie, Margaret C. and Flamme, Melanie J.",2018,Bottom-up processes drive reproductive success in an apex predator,Ecology and Evolution,8,3,"One of the central goals of the field of population ecology is to identify the drivers of population dynamics, particularly in the context of predator-prey relationships. Understanding the relative role of top-down versus bottom-up drivers is of particular interest in understanding ecosystem dynamics. Our goal was to explore predator-prey relationships in a boreal ecosystem in interior Alaska through the use of multispecies long-term monitoring data. We used 29years of field data and a dynamic multistate site occupancy modeling approach to explore the trophic relationships between an apex predator, the golden eagle, and cyclic populations of the two primary prey species available to eagles early in the breeding season, snowshoe hare and willow ptarmigan. We found that golden eagle reproductive success was reliant on prey numbers, but also responded prior to changes in the phase of the snowshoe hare population cycle and failed to respond to variation in hare cycle amplitude. There was no lagged response to ptarmigan populations, and ptarmigan populations recovered quickly from the low phase. Together, these results suggested that eagle reproduction is largely driven by bottom-up processes, with little evidence of top-down control of either ptarmigan or hare populations. Although the relationship between golden eagle reproductive success and prey abundance had been previously established, here we established prey populations are likely driving eagle dynamics through bottom-up processes. The key to this insight was our focus on golden eagle reproductive parameters rather than overall abundance. Although our inference is limited to the golden eagle-hare-ptarmigan relationships we studied, our results suggest caution in interpreting predator-prey abundance patterns among other species as strong evidence for top-down control.",10.1002/ece3.3800,,JRY,No,,,No,,,,,,,,,,,,,,,,
1017,"Fletcher, Kathy (kfletcher@gwct.org.uk) and Howarth, David and Kirby, Alan and Dunn, Rob and Smith, Adam",2013,"Effect of climate change on breeding phenology, clutch size and chick survival of an upland bird",Ibis,155,3,"Upland birds are predicted to be particularly vulnerable to the effects of climate change, yet few studies have examined these effects on their breeding phenology and productivity. Laying dates of Red Grouse Lagopus lagopus scotica in the Scottish Highlands advanced by 0.5days/year between 1992 and 2011 and were inversely correlated with pre-laying temperature, with a near-significant increase in temperature over this period. Earlier clutches were larger and chick survival was greater in earlier nesting attempts. However, chick survival was also higher in years with lower May temperatures and lower August temperatures in the previous year, the latter probably related to prey abundance in the subsequent breeding season. Although laying dates are advancing, climate change does not currently appear to be having an overall effect on chick survival of Red Grouse within the climate range recorded in this study.",10.1111/ibi.12055,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1018,"Yang, Nan and Moermond, Timothy C. and Lloyd, Huw and Xu, Yu and Dou, Liang and Zhang, Kai and Yue, Bisong and Ran, Jianghong (rjhong-01@163.com)",2016,"Effects of Supplementary Feeding on the Breeding Ecology of the Buff-Throated Partridge in a Tibetan Sacred Site, China",PLoS One,11,1,"Our goal was to document effects of year-round supplemental feeding on breeding ecology of the Buff-throated Partridge, Tetraophasis szechenyii, within a Tibetan sacred site. We evaluated effects of supplemental feeding used as religious/cultural practices which could potentially aid conservation of endangered phasianids. We compared fed breeding groups to neighboring nonfed groups. Fed groups initiated first clutches significantly earlier than nonfed groups. Earlier laying groups within fed and nonfed groups showed significantly lower hatching rates than later groups; however, fed groups showed significantly higher hatching rates than nonfed groups laying in the same period. Earlier laying increased opportunities to renest. All six fed groups with clutch failures renested compared to only one of five nonfed groups with clutch failures. Fed female breeders showed significantly greater investment in their young with larger clutches and larger eggs, which likely increased survivability of early hatchlings. We observed no predation on birds at feeding sites and recorded only four cases of predation on incubating females, which showed no detectable difference between fed and nonfed groups. Ground-nesting birds typically face high risks of predation. Ten of the 48 groups nested in trees, which occurs in few phasianid species. Tree nests showed significantly higher hatching rates compared to ground nests; however, we found no significant difference in tree nesting between fed and nonfed groups. This partridge is one of four gallinaceous species with cooperative breeding. Breeding groups with helpers had significantly greater reproductive success than single pairs, and fed female breeders with helpers laid bigger eggs than single pairs. Comparing annual reproductive output per group, fed groups not only produced significantly more independent young (>= 150 days post-hatching), their young hatched significantly earlier, which likely have greater reproductive value over later hatched young of nonfed groups. Supplemental feeding year-round is likely what enabled the successes of the fed partridges.",10.1371/journal.pone.0146568,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1019,"Boatman, Nigel D. (n.boatman@csl.gov.uk) and Brickle, Nicholas W. and Hart, Justin D. and Milsom, Tim P. and Morris, Antony J. and Murray, Alistair W.A. and Murray, Kathryn A. and Robertson, Peter A.",2004,Evidence for the indirect effects of pesticides on farmland birds,Ibis,146,Suppl. 2,"Indirect effects of pesticides, operating through the food chain, have been proposed as a possible causal factor in the decline of farmland bird species. To demonstrate such a link, evidence is needed of (1) an effect of food abundance on breeding performance or survival; (2) an effect of breeding performance or survival on population change; and (3) pesticide effects on food resources, sufficient to reduce breeding performance or survival, and hence to affect the rate of population change. Evidence under all three categories is only available for one species, the Grey Partridge Perdix perdix, although data showing effects of pesticides on food resources and relationships between food resources and breeding performance are also available for some other species. This paper reports on recent work investigating the effects of pesticides on Yellowhammer Emberiza citrinella and Skylark Alauda arvensis during the breeding season. The probability of brood reduction in Yellowhammer was affected by the proportion of the foraging area around the nest which was sprayed with insecticide. No significant effects of pesticides were recorded on Skylark chick condition or growth rate, but sample sizes were small. Invertebrate food abundance affected chick condition (Skylark) and the number of chicks fledging (Yellowhammer and Corn Bunting Miliaria calandra; relationship for the latter derived from re-analysis of data from an earlier study). Other recent work is briefly reviewed and the current evidence for the indirect effects of pesticides is summarized. Significant knowledge gaps are identified and some of the issues involved in resolving these are discussed.",10.1111/j.1474-919X.2004.00347.x,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1020,"McIntyre, Carol L. (carol_mcintyre@nps.gov) and Schmidt, Joshua H.",2012,Ecological and environmental correlates of territory occupancy and breeding performance of migratory Golden Eagles Aquila chrysaetos in interior Alaska,Ibis,154,1,"Understanding relationships between environmental conditions and reproductive parameters is important when interpreting variation in animal population size. The northwestern North American population of Golden Eagles Aquila chrysaetos canadensis initiates courtship and nesting in early spring when prey diversity is low and weather conditions are severe. Snowshoe Hare Lepus americanus and Willow Ptarmigan Lagopus lagopus, the primary prey of Golden Eagles early in their nesting season in interior Alaska, both exhibit cyclical fluctuations in abundance, providing the opportunity to investigate such relationships. We used Bayesian hierarchical models to explore variation in territory occupancy, nesting rates, nesting success and productivity of Golden Eagles from 1988 to 2010 in Denali National Park and Preserve, Alaska, in relation to annual and site-specific parameters including prey abundance, weather conditions, elevation and human activity. We also investigated the long-term fluctuations of breeding performance over the course of the study. The abundance of Hares influenced both the number of Eagles that laid eggs and the number of Eagles that produced fledglings. The conditions on the breeding ground did not explain observed declines in nesting rates and fledgling production, suggesting that other factors such as change in the age structure of the population, increased intraspecific competition or deterioration of migration and wintering habitat are driving the long-term trends of these parameters.",10.1111/j.1474-919X.2011.01181.x,,JRY,No,,,No,,,,,,,,,,,,,,,,
1021,"Baines, David and Richardson, Michael and Warren, Philip",2017,The invertebrate diet of Black Grouse <i>Tetrao tetrix</i> chicks: a comparison between northern England and the Scottish Highlands,Bird Study,64,2,"Capsule: Conservation programmes for Black Grouse Tetrao tetrix need to consider managements that increase invertebrates for chicks.Aims: To compare invertebrates in chick diet between habitat and region and to relate abundance of preferred invertebrates to Black Grouse breeding success.Methods: Chick faeces were collected from roosts in the Pennines (northern England) and Perthshire (Scottish Highlands) to identify invertebrates eaten. Larval abundance was determined by sweep netting (Pennines) and related to Black Grouse breeding success.Results: Invertebrates were recovered out of 98 faecal samples from 63 broods. Ants were more numerous in chick diet in Perthshire, with larvae (both sawflies and moths) more numerous in the Pennines. Sawfly larval abundance was positively correlated with Black Grouse breeding success in the Pennines.Conclusions: Management for Black Grouse should promote high invertebrate abundance to maintain high breeding success. This may be achieved through creating low-intensity grazed moorland fringes to encourage Bilberry, and associated moth caterpillars, adjacent to areas of higher grazing intensity to retain grasses and rushes that host sawfly larvae.",10.1080/00063657.2017.1295018,,JRY,Phasianidae,Insect availability,Reproductive success,Yes,,1997-1998,"Perthshire, Central Highlands, Scotland and North Pennines in Northern England",,,Scottish site - wet heath moorland. England site - acid grassland,Black Grouse,,,,Abundance of insects > 2mm sorted and counted,Sweep net,invertebrates,continuous,Yes,1021a; 1021b; 1021c; 1021d
1022,"Lindqvist, Christina and Lind, Jenny and Jensen, Per",2009,"Effects of domestication on food deprivation-induced behaviour in red junglefowl, <i>Gallus gallus</i>, and White Leghorn layers",Animal Behaviour,77,4,"Domestication and selection for high production have selected animals with less energy-demanding behaviour. In the natural environment of the ancestors, fitness (reproductive success) is often favoured by an ability to locate and remember food sites, whereas in captivity, fitness may be more related to the ability to grow and reproduce efficiently under stable food conditions. We hypothesized that domestication and selection for production traits have caused animals to react less actively to food shortage. In this experiment, 26 red junglefowl (RJF) and 27 White Leghorn layers (WL), the latter selected for high egg production, were exposed to 0, 3 and 24 h of food deprivation while housed in furnished cages. After food deprivation, we quantified the bird's behaviour, in a series of tests. Birds of both breeds performed more foraging-exploring, less preening behaviour and less perching with increasing length of food deprivation. However, when tested in a group, RJF showed a more active response than WL to food shortage by reducing perching time and increasing the foraging and exploration time on the ground, which may be interpreted as a more risk-prone behaviour. Furthermore, when tested individually, there was a breed effect on response in the open field and the novel object tests, where RJF were more cautious than WL. The results may reflect different feeding strategies: the behaviour of RJF would probably be more adaptive in a natural environment, while the behaviour shown by WL may allow more investment in production traits in a more predictable environment. (C) 2009 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",10.1016/j.anbehav.2008.12.015,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1023,"Wise, D. R.",1994,"Weight, carcase composition and reproductive performance of pheasants (Phasianus colchicus) fed restricted or unrestricted diets",Research in Veterinary Science,57,1,"Artificially reared hen pheasants, released in summer, are reported to have little reproductive success in the wild the following spring. One possible explanation is that such birds are unable to obtain an adequate diet after supplementary feeding ceases in February. When captive hen pheasants were fed an unrestricted diet they maintained constant muscle mass and fat reserves throughout the laying period. Hens restricted to pre-lay maintenance levels of nutrition after photostimulation initially laid good quality eggs at the same rate as the fully fed hens. However, by the time that they had laid the equivalent of one clutch of eggs, their energy reserves were approaching exhaustion, suggesting that they would have been incapable of incubating the eggs successfully. When fully fed hens were given wheat in place of a breeder diet, they quickly stopped laying but recovered equally quickly when fed a balanced ration again.",10.1016/0034-5288(94)90092-2,,JME,Phasianidae,No,,No,Breeder diet,,,,,,,,,,,,,,,
